id;produkt;kcal;bialko;weglowodany;tluszcze
1744;Chleb zytni sloneczny pelnoziarnisty;229;6.6;39.3;5
1745;Musztarda delikatesowa - Kamis;94;3.9;9.7;3.4
1746;Szpinak ze smietana;52;2.3;2.8;3.1
1747;Jajko - Farmio;139;12.5;0.6;9.7
1748;Mleko wiejskie bez laktozy - Piatnica;42;3.5;2.6;2
1749;Surowka Wiosenna - Marwit;82;1.4;10.5;3.2
1750;Banany suszone;368;3.8;88.8;1.1
1751;Boczek grillowany;185;24.2;1.4;8.4
1752;Tunczyk w sosie wlasnym - Calvo;97;22;0;0.9
1753;Parowki Berlinki - Morliny;254;13;2.7;21
1754;Ciasto biszkoptowe z galaretka i owocami;252;5.2;37.5;8.5
1755;Daktyle bez pestek suszone - Bio Planet;294;2;67;0
1756;Piwo bezalkoholowe;37;0.2;8;0.1
1757;smietanka kremowa 30% tluszczu ;285;2.2;3.1;30
1758;Babka cytrynowa;452;5;42.6;29
1759;Jogurt grecki 0% - Katharos;50;9;4;0
1760;Kurczak Curry z ryzem;108;5.4;14;2.6
1761;Chleb Gruboziarnisty - Putka;233;6.7;39;5.6
1762;Ryz pelnoziarnisty (ugotowany) - Uncle Ben's;168;3.9;34.7;1.1
1763;Rukola - Vital Fresh;26;3.8;0.1;0.3
1764;Sok swiezy grejpfrutowy;40;0;9;0
1765;Kawa Cappuccino Orzechowe - Mokate;413;5;76;9.9
1766;Serek Ziolowy Ogrod - Tartare;260;7.5;3.5;24
1767;Bulka z ziarnami - Biedronka;269;9.4;46.5;5.1
1768;Chleb razowy - Tesco;216;4.9;43;1.6
1769;Pasta z makreli;166;15.6;3.7;10
1770;Salatka z tunczyka (z cebula. jajkiem i majonezem);187;16;9.4;9.3
1771;Skrzydelka z kurczaka gotowane;186;19.2;0;12.2
1772;Ketchup lagodny 60% mniej kalorii - Kotlin;45;1.4;8.2;0.5
1773;Jogurt naturalny 0% tluszczu - Pilos;41;4.5;5.7;0
1774;Maka pszenna typ 450 - tortowa;347;9.2;74.9;1.2
1775;Kurczak (smazony);289;22.5;9.4;17.4
1776;Czekolada biala;539;5.9;59.2;32.1
1777;Parowki Morlinki - Morliny;251;13;0.7;21.8
1778;Tort bezowy;298;4.2;33.5;16.2
1779;Twarog chudy Pilke (okragly);89;17.4;3.2;0.7
1780;Platki owsiane blyskawiczne - Biedronka;372;12.6;59.6;6.8
1781;Parowki z szynki - Pikok;277;14;1.2;24
1782;Wafle ryzowe extra cienkie - Good Food;379;9.6;75.8;2.6
1783;Serek wiejski - Pilos;80;11;2.3;3
1784;Sos spaghetti lowicz;95;1.5;18.6;1.4
1785;POMIDORY SUSZONE SOTILLE GUSTO (BIEDRONKA);104;5.3;21;0.6
1786;Wolowina (pieczen);254;25.3;0;16.2
1787;Herbata Mieta;0;0;0;0
1788;Dzem domowy truskawkowy;154;0.4;36;0.3
1789;sledz w sosie pomidorowym - Amerigo;192;13;17;7.6
1790;Ciastka;440;7.6;64.7;16.8
1791;Kakao (proszek) - E. Wedel;310;23;11;11
1792;Musztarda miodowa;147;5.1;16.8;4.9
1793;Kawa zbozowa karmelowa - Inka;348;2.9;84;0.2
1794;Klops wieprzowy w sosie pomidorowym;117;10.8;8.3;4.2
1795;Przyprawa do mies - Prymat;233;6.4;41;5.2
1796;zurek na bialej kielbasie (bez jajka);46;1.9;2.5;3.1
1797;Maslo zambrowskie;622;1.1;1.4;68
1798;Chleb krolewski - Oskroba;265;10;45;4
1799;Szpinak rozdrobniony;19;2.3;0.4;0.5
1800;Tunczyk w wodzie - Graal;70;14;0;1.5
1801;Banan swiezy odmiana CAVENDISH;95;1;23.5;0.3
1802;Maslo orzechowe 90% orzechow - Sante;634;26.6;8.5;53
1803;Dorsz pieczony;95;22.8;0.4;0
1804;Surowka wielowarzywna - ZPH Witamina;67;0.9;10;2.6
1805;Seler korzen (ugotowany);29;1;5.9;0.2
1806;Groszek konserwowy - Bonduelle;69;5.7;7.4;0.7
1807;Metka kielbasa surowa;154;16;0.5;10
1808;Parowki popularne;347;9.5;0.7;34.3
1809;Galaretka z nozek wieprzowych;207;15.6;0.5;14.4
1810;Sok z marchwi;38;0.4;8.7;0.1
1811;Jogurt naturalny owczy;77;6.3;5.1;3.5
1812;Jogurt naturalny - Bieluch;56;4;5.5;2
1813;Pizza Pepperoni (na grubym ciescie);287;11.5;31.8;12.6
1814;Maka orkiszowa pelnoziarnista;316;14.9;59.4;2.1
1815;Bita smietana Mleczna Dolina spray;240;2.8;17;19
1816;Salatka warzywna z kukurydza;187;2;15;13
1817;Piernik w czekoladzie;383;8.8;68.4;7.9
1818;Pumpernikiel pelnoziarnisty - Schulstad;239;5.6;56.1;1.5
1819;Twarog Ostrolecki poltlusty - SML Ostroleka;125;17;3;5
1820;Baton Knoppers;528;8;52;32
1821;Ser zolty Podlaski;347;26;2.3;26
1822;Musli bakaliowe z rodzynkami i suszonymi owocami - Vitanella;386;8.8;66.6;7.3
1823;Czekolada Crispy Joghurt - Milka;555;5.4;57;33
1824;Ser plesniowy;364;20.8;0.5;31.7
1825;oliwki zielone z papryka biedronka;124;0.7;0;13
1826;Ser Feta light 10% tluszczu;163;16.5;0.2;10.3
1827;Szynka wedzona;243;26;1;15
1828;Morele suszone Bakallino - Biedronka;284;5.4;61.9;1.2
1829;Ser bialy;265;7;3;24
1830;Pizza serowa;266;11.4;33.3;9.7
1831;Serek Tofu twardy;145;15.8;4.3;8.7
1832;szynka wieprzowa parzona;219;23;3;14
1833;Platki Chocapic - Nestle;393;8.5;76.3;4.6
1834;Mango suszone;289;2.9;61.6;2.1
1835;Chleb razowy na miodzie;247;6;55;2
1836;Ajwar pikantny (pasta warzywna);78;1.5;11;4
1837;Mieso z indyka do dan wloskich (mielone);149;16.3;0.9;8.3
1838;Mleko sojowe nieslodzone;32;3;0;2
1839;Musli 5 zboz z rodzynkami - Melvit;360;8.3;63;6.2
1840;Ser zolty morski - Bluedino;347;26;0;27
1841;Sos czosnkowy - Madero;408;1;8.1;41
1842;Serek smietankowy z ziolami w plastrach - Capresi;256;9;3;24
1843;Odzywka bialkowa Whey C-6 - HI-TEC Nutrition;359;83;3.2;1.6
1844;zurawina suszona - Bakalland;360;0.3;84.9;0.9
1845;Twarog Delikatny ze szczypiorkiem - President;87;9;2.7;4
1846;Ryz Basmati pelnoziarnisty (ugotowany);117;3.1;25;1
1847;Zrazy wolowe zawijane;216;26;2.4;11.7
1848;Chleb kukurydziany;330;7;54;10
1849;Paluszki - Lajkonik;374;12;71;3.6
1850;bulka tarta na masle;557;5.5;37.8;42
1851;Wafle ryzowe wieloziarniste Slim - Kupiec;379;8;73;5
1852;Wafle musli - Sonko;381;8.9;73.6;4.2
1853;Ketchup lagodny - Heinz;102;1.2;23.2;0.1
1854;Maslo klarowane - Mlekovita;898;0.1;0.1;99.8
1855;Schab (duszony);197;25.2;0;10.2
1856;Kanapka Grillowana Piers Kurczaka - Subway;140;15.5;18.1;2
1857;Kluski lane;97;3.6;15.6;2
1858;Ser zolty z dziurami;362;26;1.4;28
1859;Mleko bez laktozy;40;3.4;3;1.5
1860;Slonecznik luskany - Finesia;561;24.4;24.6;43.7
1861;Ser Camembert light - President;197;22;0.2;12
1862;Udko z kurczaka;158;16.8;0;10.2
1863;Salatka szwedzka ogorkowa;29;1.5;6;0.3
1864;Granola;471;10;64;20
1865;Pestki slonecznika;584;21;20;51
1866;Maliny mrozone - Tesco;51;1;7;1
1867;Makaron ze szpinakiem i kurczakiem w sosie smietanowym;156;11.7;10.1;7.6
1868;Oliwki czarne w sloiku (marynowane);140;1.2;3.1;12.8
1869;Makaron pelnoziarnisty Fusilli (ugotowany) - Biedronka;110;4.9;21.8;0.4
1870;Blonnik z siemieniem lnianym;257;12;10;5.9
1871;Kasza Bulgur;342;12.3;75.9;1.3
1872;Jogurt Jogobella pieczone jablko - Zott;108;3.5;17.4;2.6
1873;Zarodki pszenne;357;29.5;45.5;9.4
1874;Fasola szparagowa (konserwa);26;1.5;4.5;0.2
1875;Likier Advocat;280;4.4;28.4;6
1876;Kasza jaglana - Sante;348;10.5;68.4;2.9
1877;Ser zolty niskotluszczowy Piorko - Ceko;164;35;0;3
1878;Jogurt grecki 0%- Piatnica;57;9;5.2;0
1879;zeberka wieprzowe (gotowane);260;25.6;0;17.6
1880;Wieprzowina (mieso mielone);314;14.9;0.7;28
1881;Serek kanapkowy ze szczypiorkiem - Hochland;260;7;4;25
1882;Szynka Forest Ham;100;17;2;2
1883;Jogurt naturalny BIO - Lidl;72;5;4.7;3.5
1884;Ser zolty bydgoski - Mlekpol;347;26;0;27
1885;Drozdzowka z makiem i lukrem;325;8.7;50.5;9.8
1886;sliwki suszone - Sante;255;2.2;57;0.4
1887;Jogurt pitny 0% sliwkowy (FruVita);41;3.7;6.2;0.5
1888;Bagietka korzenna;257;10.6;49.4;1.3
1889;Baton Bounty;488;3.7;56.7;25.2
1890;Faworki;515;8.8;49.5;31.6
1891;Ciasto drozdzowe z rabarbarem;264;3.5;31.9;13.2
1892;Pasztet Podlaski - Drosed;184;7;4;16
1893;Zupa krupnik (bez miesa);32;1;5;1
1894;Serek smietankowy do kanapek lekki - Delikate;158;9;3.4;12
1895;Pasztet z ciecierzycy;150;6.2;8.1;9.4
1896;Kiszka pasztetowa;387;12.5;4.3;35.7
1897;Pasztet z pieca klasyczny;325;22.1;0.9;25.5
1898;Poledwica sopocka Nasze Smaki;98;15;2;4
1899;Nasiona konopii luskane (hemp);610;32;1;52
1900;Sok wyciskany wieloowocowy;41;0.1;10;0
1901;Ser Mozzarella - Sottile Gusto;247;17.5;1.5;19
1902;Salatka z kurczakiem wedzonym - Vital Fresh;100;7.2;6.1;5
1903;Sushi;160;6.5;31;1.3
1904;Ser bialy twarog chudy TESCO;86;17;4.5;0.5
1905;Maslo - Kerrygold;589;0.5;0.5;65
1906;Serek homogenizowany o smaku waniliowym z truskawkami - Vitello;177;4.1;19.8;9
1907;Maka gryczana;335;12.6;70.6;3.1
1908;Kielbasa wieprzowo-wolowa wedzona;301;12.1;2;26.6
1909;Mus jablkowy slodzony (z sloika/puszki);68;0.2;17.5;0.2
1910;Chleb zytni sitkowy;232;4.9;49.2;1.5
1911;Filety sledziowe opiekane w zalewie octowej - Lisner;217;11;12;14
1912;ser bialy chudy BIEDRONKA;90;18;3.1;0.5
1913;Krowka cukierek - Jutrzenka;387;4.1;76.9;7.1
1914;Ciastko owsiane z rodzynkami (domowego wypieku);435;6.5;68.4;16.2
1915;Sos czosnkowy Develey;223;0.8;8.8;20.3
1916;Jajko kurze L;139;12;1;10
1917;Jogurt Activia Truskawka Kiwi - Danone;78;2.8;13;1.6
1918;Fasola czerwona konserwowa - Dawtona;101;8.1;12;0.6
1919;Ciasto biszkoptowe marmurkowe;359;6.7;47.7;15.7
1920;Serek wiejski laciaty - Mlekpol;99;11;2.5;5
1921;Sucharki delikatesowe - Mamut;391;11.6;78.3;4.8
1922;Karpatka;398;6.7;34;26
1923;Zupa warzywna;30;1.3;3.5;1.2
1924;Jogurt Jogobella light truskawka - Zott;60;4;8.4;1.1
1925;Pierogi z jagodami;195;6;43;0.7
1926;Pizza hawajska;172;7.9;25.6;4.6
1927;Paluszki Junior - Lajkonik;398;11;74;5.6
1928;losos wedzony na goraco Stremellachs - Lidl;218;26.6;1;12.4
1929;Ser twarogowy chudy - Nowak;98;19.8;3.5;0.3
1930;Jogurt naturalny 0% - Tesco;41;4.1;6;0
1931;Serek wiejski ze szczypiorkiem Piatnica;97;11;2;5
1932;Szynka eksportowa - Krakus;98;19;2;1.6
1933;Surowka z kapusty czerwonej - ZPH Witamina;99;0.6;5.9;8.2
1934;Kielbasa torunska;270;20.9;0;20.1
1935;Ciastko francuskie z jablkiem;393;5.2;43.4;22.2
1936;Indyk w galarecie - Lidl;67;13.3;0.8;1.1
1937;Wedlina filet z piersi kurczaka - Pikok;103;19.1;2.2;2
1938;Serek smietankowy Philadelphia - Kraft;250;5.8;3.2;23.5
1939;Kurczak Hot Wings - KFC;400;22;21;25
1940;Sos czosnkowy z jogurtu naturalnego;81;4.8;9.5;3.4
1941;Baton Milky Way;456;4;71.2;17.2
1942;Czekolada mleczna z calymi orzechami Nussbeisser - Alpen Gold;555;7.8;48.5;36
1943;Grzanki srodziemnomorskie - Biedronka;502;9;59;25
1944;Filet wedzony z kurczaka - Biedronka;173;22;16;2
1945;Zupa jarzynowa (mrozonka);32;2.1;3.5;0.3
1946;Chleb lniany;240;7.3;42;4.2
1947;Zapiekanka;227;8.7;34.4;5.3
1948;Ser twarogowy poltlusty - Zott;117;16.5;3.7;4
1949;losos wedzony na goraco (lagodny) - Marinero Selection;232;25;1;14
1950;Maka szymanowska 480 (pszenna);350;12;73;1.5
1951;losos Atlantycki wedzony - Suempol;200;20;0.8;13
1952;Salceson wloski;322;14.6;0;29.3
1953;Pizza wiejska;280;11.5;30.6;12.4
1954;Bulka z ziarnami - Biedronka;269;9.4;46.5;5.1
1955;Wino rozowe polslodkie;85;0;2.6;0
1956;Warzywa na patelnie po grecku - Mrozna Kraina;47;2.2;7.8;0.3
1957;Czekolada Oreo - Milka;560;5.5;55;35
1958;zurawina suszona - Makar;353;0.5;84;0.5
1959;Wedlina filet pieczony z kurczaka - Biedronka;134;23.5;2.1;3.5
1960;Gulasz;186;11.3;5.9;14.7
1961;Papryka (grillowana);72;0.6;8.4;3.5
1962;Kotlet schabowy panierowany smazony na oleju z pestek winogron;216;16;7;14
1963;Wedzona piers z indyka;90;19.1;2;1
1964;Twarog chudy Delikate - Biedronka;86;18;3.5;0
1965;Brokul Biedronka;30;2.8;4;0.4
1966;Slonecznik Bako D`Or Natur - Biedronka;580;24;19;44
1967;Pierniczki;376;4.4;72;7.3
1968;Surowka por. marchew. seler;63;3.8;7;2.5
1969;Platki kukurydziane Corn Flakes miod i orzeszki - Nestle;401;7.1;80.4;4.8
1970;Musli tropikalne - Nestle;381;9.5;65.4;7.2
1971;Chleb ziarnisty;299;10;21;18
1972;Frytki mrozone;150;2.2;24.8;4.7
1973;zurawina (w sloiku);151;0.2;38.9;0.2
1974;Pieczywo chrupkie 3 zboza - Wasa;330;11;59;4.5
1975;Kefir naturalny - Danone;41;2.9;4;1.5
1976;Kabanos serowy - Tarczynski;539;24;5;47
1977;Kabanosy - Pikok;532;25;1.7;47
1978;Frytki amerykanskie;180;3;24;8
1979;Jogurt grecki - Zott;125;3.5;4.3;10
1980;Dzem 100% owocow Wisnia - lowicz;143;0.7;33.9;0.3
1981;KUPIEC platki owsiane gorskie;378;11.9;63;7.2
1982;Wafle Kinder Bueno - Ferrero;572;9.2;49.6;37.3
1983;Klementynka;47;0.9;12;0.2
1984;Zupa chinska kurczakowa;71;1.3;9.1;3.3
1985;Sos tatarski;590;1.3;5.8;62
1986;Bagietka z maslem czosnkowym;318;6.5;39.8;14.3
1987;Salceson;318;14.6;0;29.3
1988;Kurczak z rozna;260;23;0;19
1989;Tofu naturalne;130;12;0.5;8
1990;Chleb Galicyjski Mieszany - SPPIC Krakow;208;6.4;43.9;0.8
1991;Chipsy paprykowe;570;6;50.4;40
1992;Bitki wieprzowe;198;10.2;2.4;17.2
1993;Wafle kukurydziane;370;10;73;3
1994;Parowki Piratki z szynki 93%;276;14;1.2;24
1995;Kefir naturalny 1.5 % - Milko;47;3.6;4.7;1.5
1996;Pepsi Max;0;0.1;0.1;0
1997;Odzywka Bialkowa KFD WPC80 Premium;378;77;6.7;4.8
1998;Makaron Barilla;359;12.5;71.2;2
1999;Platki (pozostale);367;7.9;74.9;3.6
2000;Kielbasa (pozostale);275;17;0;23
2001;Miod akacjowy miody polskie;339;0.5;79.5;0
2002;Chleb razowy ze sliwka;181;4.6;37.8;1.3
2003;Parowki wedzone z kurczat - Biedronka;192;11;7;13
2004;Zupa krem z cukinii;16;1;2;1
2005;Jogurt naturalny Jogobella 0% - Zott;46;4.3;5;0.1
2006;Barszcz Czerwony (Krakus);35;0.2;8;0.2
2007;Porzeczki czerwone;46;1.1;11;0.2
2008;Precel;338;8.2;71;3.1
2009;Lasagne z miesem i sosem;127;8.3;12.9;4.7
2010;Musli - Biedronka;371;9.4;64.7;6.3
2011;Makaron zytni (ugotowany);103;3;21.2;0.7
2012;Zupa krem z warzyw;54;3.4;7.2;1.3
2013;Maslo lowickie Extra;744;0.7;0.7;82
2014;Chleb pelnoziarnisty ciemny;247;12;36;4
2015;Platki owsiane Gorski Melvit;363;13;60;5.7
2016;maka zytnia razowa;334;11;66;2.2
2017;Ryz jasminowy (nieugotowany);355;6.7;78.9;0.2
2018;Odzywka bialkowa formula 3 - Herbalife;385;83;4;4
2019;Pyzy z miesem (mrozone);169;5.4;26;5.1
2020;losos wedzony z pieprzem - Marinero;195;24;0;11
2021;Maslo extra oselka - Mlekovita;746;1;1;82
2022;Tilapia filet;90;13;0;4
2023;Ptys z bita smietana;352;5.4;25.8;25.2
2024;Makaron razowy Lasagne (ugotowany);136;4.5;28.4;0.6
2025;Chleb zytni z zurawina - Schulstad;197;5.1;35.4;2
2026;Zielona fasolka szparagowa mrozona - (TESCO);28;1.8;3.5;0.1
2027;Serek homogenizowany chudy 0% Miss Talia - Maluta;58;9;5;0
2028;Platki owsiane blyskawiczne KUPIEC;378;11.9;63;7.2
2029;Platki kukurydziane Corn Flakes bezglutenowe - Nestle;380;7.3;82.6;1.3
2030;Babka (ciasto);418;4.8;51.4;21.4
2031;Majonez light;482;1.3;5.3;50
2032;Chleb Fitness ze slonecznikiem - Schulstad;238;7.3;33.2;7.1
2033;Maslo Flora light;270;0.5;0.5;30
2034;Serek twarogowy ziarnisty Trzebownisko - Mlekovita;140;13;4;8
2035;Ciasteczka kruche;429;5;55;22.4
2036;Chleb Fitness Style z ziarnami - Schulstad;198;5.8;33.6;2.4
2037;Chleb Dobry z dynia - Schulstad;279;6.8;51.4;3.8
2038;Orzechy Pecan;691;9;14;72
2039;Oliwki czarne - Biedronka;127;0.5;0;13.2
2040;Gyros drobiowy;134;8.9;19.8;1.6
2041;Ryz paraboiled (ugotowany);118;2.6;26.3;0.3
2042;Papryka (smazona);133;1;6.6;12.8
2043;Ketchup pikantny - Kotlin;99;1.3;22;0.5
2044;Serek z pomidorami dojrzewajacymi na sloncu - Almette;235;7.1;6.6;20
2045;Kefir naturalny - Bakoma;60;3.4;4.9;3
2046;Baton Mars;452;3.2;70.1;17.2
2047;Chili con carne;107;5.8;13.1;3.5
2048;Ser topiony Gouda;323;14;6;27
2049;Czekolada mleczna - Milka;530;6.3;59;29
2050;"Pierogi ze szpinakiem i serem ""U Jedrusia"" ";154;5.6;26;2.7
2051;Ser Salami SERENADA;339;26.2;0.1;26
2052;"Fasolka szparagowa zolta gotowana ""Mrozna Kraina"" Biedronka ";40;1.8;5.7;0.4
2053;Owoce lesne mrozone - Spar;40;1.1;6.4;0.3
2054;Bulka razowa z sezamem;284;8.6;50.5;3.5
2055;Platki Cheerios wielozbozowe - Nestle;369;6.9;78.8;2.9
2056;Ser typu balkanskiego - Lidl;226;14.7;1.2;18
2057;Makaron pelnoziarnisty Kokardki (nieugotowany);357;15.2;68;1.3
2058;Salatka ziemniaczano-jajeczna;157;2;16.2;9.4
2059;Ser topiony - Krowka sniezka;239;11;6;19
2060;Czekolada Choco & Biscuit - Milka;560;6;54;34
2061;Maslanka naturalna;47;3.4;4.9;1.5
2062;Chleb orkiszowy - Biedronka;209;6.3;33.7;4.6
2063;Pieczony filet z piersi kurczaka w plastrach - Dulano;104;21.5;1;1.5
2064;Groszek konserwowy - Pudliszki;63;4;11;0.3
2065;Serek kanapkowy naturalny - Biedronka;114;7;4.7;7.5
2066;Bitki wolowe;106;14.2;2;4.8
2067;Rosol z kury;56;4.3;1.5;5.9
2068;Ryz pelnoziarnisty (ugotowany);156;3.6;33.2;1
2069;Morwa biala suszona;370;4;76;4
2070;Chipsy Papryka - Lay's;524;6.1;51.4;31.7
2071;Chipsy zielona cebulka - Lay's;516;6.2;51.8;31.5
2072;Cieciorka - Bonduelle;120;6.4;14.7;2.2
2073;Miod wielokwiatowy nektarowy;318;0;79;0
2074;Winiary Sos czosnkowy 250 ml;611;1.2;4.8;65
2075;Ser Philadelphia lekki - Kraft;110;11.5;5;4.7
2076;Pomidory krojone w puszce - Dawtona;19;1.1;3.2;0
2077;Salatka z rukola i serem mozzarella - Fit & Easy;144;7;6;10
2078;Chleb pszenno-zytni krojony - Biedronka;242;7.5;48.7;1.3
2079;Cheeseburger McDonald;254;13;26;10
2080;Wino czerwone - Pinot Noir;82;0;2.3;0
2081;Ser Light - Lidl;212;20;6;12
2082;Cukierki karmelowe;382;4.6;77;8.1
2083;Platki Nesquik - Nestle;386;8.1;76.1;3.9
2084;Bulka paryska (Kawiarka);217;6;45.7;0.8
2085;Przecier pomidorowy - Pudliszki;105;5;18;1
2086;Otreby owsiane wysokoblonnikowe - Sante;364;18;44;8.7
2087;Ser Maasdamer w plastrach bez laktozy - swiatowid;334;25;0;26
2088;Mleko zageszczone - Mleczna Dolina;134;5.5;11;7.5
2089;Ogonowka parzona;134;16.7;0;7.5
2090;Olej lniany - KTC;899;0;0;99.9
2091;Ser kozi (twardy);452;30.5;2.2;35.6
2092;Amarantus (nasiona);371;13.6;65.3;7
2093;Pasta sezamowa Tahini;699;26.9;1.9;58.2
2094;Ciasto jogurtowe;377;5.2;53.4;15.7
2095;Olej Lniany BIOOIL;900;0;0;100
2096;Makrela;275;20;1;22
2097;smietana;292;2.4;3.2;30
2098;Herbata owocowa - Owocowy raj;4;0;1;0
2099;Karkowka wieprzowa pieczona;419;16.5;0;37.8
2100;Kabanosy wieprzowy extra - Tarczynski;411;15;0;39
2101;Chleb Ciabattowy;271;7.3;58.5;1.5
2102;Dzem z czarnej porzeczki niskoslodzony;145;0.5;34;0.5
2103;Makaron orkiszowy (ugotowany);86;3;19;1
2104;Skrzydelko z kurczaka;186;19.2;0;12.2
2105;Serek Capri typu wloskiego - Sierpc;183;12.1;3.6;13.4
2106;Pasta z jaj i ryby wedzonej;257;13.8;1.6;24.3
2107;Szprot w pomidorach;108;12;5.9;4.5
2108;Wieprzowina (lopatka pieczona);317;23.5;0;24
2109;Stek z wolowej poledwicy (grillowany);242;26;0.8;15
2110;Skrzydelka z kurczaka pieczone - Biedronka;176;17.4;1.6;11.1
2111;Wafle ryzowe ze slonecznikiem - Sonko;384;9.2;77;3.6
2112;Jagody Goji (150g) - Sante;299;11.7;43.2;3.7
2113;Margaryna pyszny duet;225;0;0;25
2114;Chleb chlopski - Bonus;269;7;55;1
2115;Sol himalajska;0;0;0;0
2116;Platki jaglane BIO;363;11;69;4
2117;Przyprawa meksykanska;235;9.3;25;6.3
2118;Morszczuk swiezy;89;17.2;0;2.2
2119;Wafle ryzowe z kukurydza;385;8.4;81.2;3.2
2120;Dzem z czarnej porzeczki - Sympathica;139;0.4;32.9;0.1
2121;losos wedzony - Tesco;213;24;0.5;13
2122;Serek smietankowy w plastrach - Capresi;256;6.9;3;24
2123;Ogorki konserwowe kaszubskie;21;0.9;3.8;0.2
2124;Filet sledziowy w sosie pomidorowym Amerigo - Biedronka;141;10;5.4;8.8
2125;Smalec ze skwarkami i przyprawami;862;3.1;0.2;96.1
2126;Ketchup lagodny - Kotlin;102;1.4;23;0.5
2127;Salatka warzywna;135;2.8;8.3;11.3
2128;Oliwa z oliwek Extra Virgin - Goya;824;0;0;92
2129;Chleb zytni pelnoziarnisty Pumpernikiel;216;5.6;43.6;1.8
2130;Wedlina krakowska sucha z indyka - Pikok;140;25;0;4.5
2131;Platki sniadaniowe Cini Minis truskawkowe - Nestle;420;5.1;75.4;10
2132;M&M's orzeszki;520;10;58.1;26.6
2133;Kielbasa wiedenska delikatna;224;14;1;18
2134;Deser sojowy o smaku waniliowym;85;3;13;2
2135;Risotto warzywne;178;4.6;18.9;9.9
2136;Barszcz czerwony - Winiary (po ugotowaniu);23;0.3;5;0.2
2137;Wafle Podplomyki bez cukru - Kupiec;384;1.9;83;3.9
2138;Pieczarki marynowane Nasza Spizarnia;34;2.3;3.9;0.2
2139;Pasztet (pozostale);199;11;11;12
2140;Costa kawa na pelnotlustym mleku Americano;24;1.3;2.2;1.2
2141;Pieczywo chrupkie oliwkowe - Sante;389;11;72;5
2142;Gulasz po wegiersku;106;5.5;6;6.5
2143;Serek wiejski - Wloszczowa;115;11;2;7
2144;Wedzonka krotoszynska ekstra - Morliny;111;20;2;2.6
2145;Ryz jasminowy (ugotowany);116;2.6;25;0.2
2146;Zrazy ze schabu;181;16.6;3;11
2147;Danie tatarskie (KRAINA MIeSA) - Biedronka;104;17;1;3
2148;Kapusta czerwona z jablkiem NASZA SPIzARNIA;33;1;6;0
2149;Lody Magnum Almond;330;4.8;30.2;21.1
2150;Bukiet warzyw kwiatowy - Hortex (mrozonka);28;1.9;3.1;0.5
2151;Sos salatkowy czosnkowy;270;1;13;24
2152;Marchewka z groszkiem - Hortex;47;2.6;6.4;0.5
2153;Ciasto z kremem;304;2.6;34;19
2154;Frytki - McDonald's;239;2.7;29;12
2155;Serek Fromage naturalny - Rians;384;10.2;2.4;37.1
2156;Kanapka Twister KFC;239;9.5;23.5;12
2157;Sos musztardowo - miodowy;464;0.9;23.3;40.8
2158;Chleb - Pro Body;275;21.4;6.1;16.8
2159;Pasztet z pieca bez konserwantow;247;19.8;3;17.3
2160;Margaryna Rama extra maslany smak;700;0.5;0.5;79
2161;Ser zolty Zloty Mazur - Mlekpol;347;26;0.1;27
2162;Pomidor suszony;258;14.1;55.8;3
2163;Pierogi ze szpinakiem;179;4.9;31.3;3.5
2164;Szynka konserwowa Kraina Wedlin - Biedronka;99;19;1;2
2165;Indyk filet bez panierki (smazony);135;26.1;0;2.6
2166;Kefir naturalny 0% - Jana;34;3.6;5;0
2167;Kakao (proszek) - Puchatek;373;3.7;85.6;1.8
2168;Groszek konserwowy - Kwidzyn;74;4.3;12;0.5
2169;Sos smietanowy;460;4;12;44
2170;Sok z czarnej porzeczki;53;0.3;12.2;0.1
2171;Kotlet schabowy (duszony);176;17.8;3.8;9.8
2172;Botwina (ugotowana);27;2.6;5.5;0.2
2173;Ryz z jablkami;156;1.8;33;2
2174;Makaron ugotowany;90;3.6;15.6;1.3
2175;Jogurt naturalny 2% z wapniem - Pilos;58;4;6;2
2176;Chleb Graham - Oskroba;222;7;41;2
2177;Maslo bez laktozy- Lumiko;744;0.7;0.7;82
2178;Soczewica czerwona;327;25.4;48.6;3
2179;Kawa (proszek);241;12.2;41.1;0.5
2180;Granola domowa;431;15;53;20
2181;Keks bakaliowy;401;6.4;53.8;17.8
2182;Kurczak po chinsku;146;12;23;2
2183;Rurki waniliowe - Biedronka;546;5.2;60;31
2184;Chleb kresowy - Oskroba;231;5.5;42;3.7
2185;Mleko Zambrowskie 1.5%;46;3.3;4.8;1.5
2186;Karkowka pieczona w rekawie;271;16;0;23
2187;Wloszczyzna slupki - Mrozna kraina (mrozonka);49;1.6;8;0.5
2188;zurek z jajkiem i kielbasa;142;2.4;26.2;3.5
2189;Kawa rozpuszczalna z mlekiem skondensowanym i cukrem;110;20;7.9;0
2190;Makaron swiderki gotowany;168;6.2;33.5;0.7
2191;flexit;325;50;29;0
2192;chleb z biedronki pszenno zytni;231;7.3;46.4;1.2
2193;Zupa szczawiowa z jajkiem;93;3.7;9.6;4.4
2194;Jogurt naturalny bez laktozy - Zott;67;4.9;3.9;3.1
2195;Ser Ricotta (pelnotlusty);174;11.3;3;13
2196;Maka jaglana;373;10.8;73.1;4.3
2197;zelatyna;344;85;0.1;0.1
2198;sniadanie standardowe: szynka konserwowa. parowka. sosik. herbata.;300;21;30;11
2199;Jeczmien zielony w proszku;171;24;14.3;2
2200;Szynka gotowana Kraina Wedlin - Biedronka;95;16;2;2.5
