id;produkt;kcal;bialko;weglowodany;tluszcze
131;Platki owsiane gorskie;376;11.9;62.4;7.2
132;Poledwica sopocka - Morliny;111;19;1.3;3.3
133;Olej;884;0;0;100
134;Rozmaryn suszony;351;4.9;64;10
135;Kawa Espresso;2;0.1;0;0.2
136;Kasza gryczana (ugotowana);92;3.4;19.9;0.6
137;Chleb razowy - Oskroba;199;7;38;1
138;Papryka chili (proszek);282;13.5;49.7;14.3
139;Chleb pszenny;262;8.5;54.3;1.4
140;Szynka;96;17;0;3
141;Salata mix;18;0.8;2.3;0.1
142;Winogrona zielone;69;0.7;18.1;0.2
143;Indyk (piers bez skory);104;17.1;4.2;1.7
144;Ocet winny;19;0;5.9;0
145;Lisc laurowy suszony;313;7.6;75;8.4
146;Kapusta kiszona;19;0.9;4.3;0.1
147;Wedlina z piersi indyka;90;19.1;1.9;0.7
148;Ryz bialy (ugotowany);130;2.7;28.2;0.3
149;Pieczarka swieza;17;2.7;2.6;0.4
150;Papryka zolta;27;1;6.3;0.2
151;Bulka pszenna;271;7.3;58.3;1.4
152;Brokuly (gotowane bez soli);35;2.4;7.2;0.4
153;Chleb pszenny razowy;247;13;41.3;3.4
154;Mango;60;0.8;15;0.4
155;Ser Mozzarella light - Galbani;167;20;1.6;9
156;Kielki lucerny;23;4;1;0.5
157;Szynka z indyka - Coop;126;18;2;4.8
158;Fasola czerwona (konserwa) - Red Kidney;114;7.2;15.8;1.1
159;Grejpfrut;32;0.6;8.1;0.1
160;Szynka wieprzowa z tluszczem. gotowana;232;16.9;1;18.1
161;Szynka z piersi kurczaka (delikatna);85;16.2;1.5;1.6
162;Kawa Latte;33;2;3;1.4
163;Jajko ugotowane na miekko;143;12;0;10
164;Papryka ostra (proszek);282;13.5;49.7;14.3
165;Szpinak BABY surowy;22;2.6;0.4;0.9
166;Galka muszkatolowa (mielona);535;6;50.3;35.3
167;Seler (natka);14;0.7;3;0.2
168;Otreby pszenne;273;17;61;4.6
169;Ser Parmezan;452;41.5;0.1;32
170;Arbuz;30;0.6;7.6;0.2
171;Kardamon;331;11;70;7
172;Ananas;50;0.5;13.1;0.1
173;Mleko 2% tluszczu - Mlekovita;49;3;4.7;2
174;Ryz parboiled dlugoziarnisty (nieugotowany) - Biedronka;365;7.9;79;1.4
175;Maka pszenna typ 500;364;10.3;76.3;1
176;Surowka Coleslaw;67;0.8;4.2;4.4
177;Burak;43;1.6;9.6;0.2
178;Jajko kurze gotowane;155;12.6;1.1;10.6
179;Makaron pelnoziarnisty Piora (nieugotowany);340;15;58;3.2
180;Ser Feta light Apetina - Arla;150;16;3.5;8.5
181;Pomidory w puszce;35;1.2;7.5;0
182;Nektarynka;50;0.9;11.8;0.2
183;Jajecznica;149;10;1.6;11
184;Serek homogenizowany naturalny - Pilos;125;11;1;7.5
185;Fasolka szparagowa (zolta);31;1.8;7.1;0.1
186;Mleko 1.5%;45;3;4.8;1.5
187;Dymka cebula;32;1.8;7.3;0.2
188;Rozmaryn suszony (proszek);331;4.9;64;15.5
189;Kapusta pekinska;16;1.2;3.2;0.2
190;Mleko 2%;50;3;5;2
191;Jajko gotowane;155;12.6;1.1;10.6
192;Kefir naturalny gesty 1.5% tluszczu - Tola;44;3.2;4.5;1.5
193;Orzechy nerkowca;553;18.2;30.2;43.9
194;Bazylia - liscie;23;3.2;2.7;0.6
195;Ser Ricotta (czesciowo odtluszczony);138;11.4;5.1;7.9
196;Chleb razowy 100% zytni;211;4.7;41.5;1.6
197;Bulka tarta;363;9.2;75.6;2.2
198;Majonez;680;0.6;3;74
199;Platki owsiane blyskawiczne;375;12.7;67.6;6.3
200;Tunczyk w sosie wlasnym - Calvo;103;24;0;0.8
201;Piwo jasne pelne;49;0.5;3.8;0
202;Kolendra swieza;23;2.1;3.7;0.5
203;Marchew (gotowana);35;0.8;8.2;0.2
204;Jarmuz;36;3.3;6.1;0.7
205;Serek wiejski light;81;11;2.4;3
206;Chleb orkiszowy;249;8.3;44.2;5.9
207;Mieszanka studencka z migdalami;409;8.1;46.3;19.8
208;Pieprz kolorowy;251;10.4;63.9;6.4
209;Maliny;52;1.2;12;0.7
210;Bazylia swieza;23;3.2;2.7;0.6
211;Jogurt grecki;60;3.6;5.2;2.8
212;Daktyle suszone ;290;2;74;0.4
213;Platki zytnie;385;6.4;82.6;3.2
214;Otreby owsiane;361;18;45.6;7.7
215;Surowka z bialej kapusty;77;1.6;7;5.2
216;Wino czerwone wytrawne;68;0.1;0.2;0
217;Dorsz;82;17.8;0;0.7
218;Serek smietankowy - Almette;230;7;6;20
219;Ser salatkowo - kanapkowy poltlusty - Favita;176;14;3;12
220;Sok z cytryny;22;0.4;6.9;0.2
221;Bulka;293;9;52;4
222;Musli owocowe - Sante;367;8.5;71.8;5
223;Baklazan;25;1;5.9;0.2
224;Chleb zytni 100%;204;6;40;1
225;Fasola biala (konserwa);114;7.3;21.2;0.3
226;Hummus;176;8;14;10
227;Kawa zbozowa - Inka;342;4.5;73;0.2
228;Kolendra nasiona;298;12.4;55;17.8
229;Platki migdalowe;600;23.3;16.6;50
230;Borowka amerykanska;61;1;15;1
231;Piers z kurczaka bez skory pieczona;79;16.8;2.2;0.4
232;Ogorek zielony;16;0.7;3;0.1
